id,filename,current_commit,parent_commit,old_status,new_status,status
48769d2f682fb326987713a8d8793cd0c9e5c714#0,notebooks/00_quick_start/sar_single_node_movielens.ipynb,48769d2f682fb326987713a8d8793cd0c9e5c714,676d1c4f20b0fc3d9ce3b13602ad79751724fe25,success,ss,success
48769d2f682fb326987713a8d8793cd0c9e5c714#1,notebooks/02_modeling/surprise_svd_deep_dive.ipynb,48769d2f682fb326987713a8d8793cd0c9e5c714,676d1c4f20b0fc3d9ce3b13602ad79751724fe25,success,ss,success
3ea7cf02d03f4c4dbe1590033273ab5c4ca8dbc3#0,notebooks/01_data/data_split.ipynb,3ea7cf02d03f4c4dbe1590033273ab5c4ca8dbc3,b28718718eccfc18ea6ec92bac1ada82f1727311,success,ss,success
28de14c8ad010d39dd5fe1207914e6e2467c6faa#0,notebooks/02_modeling/als_deep_dive.ipynb,28de14c8ad010d39dd5fe1207914e6e2467c6faa,ef6546180c733c42093ff53aaf131b0759ffef89,success,ss,success
e89d4f0b96d399f8e108d28e7778e6c28743519f#0,notebooks/02_modeling/surprise_svd_deep_dive.ipynb,e89d4f0b96d399f8e108d28e7778e6c28743519f,6f775c250c53f1cd75324fb7e25acbd406f93d78,success,ss,success
5178d1cfe6af80c0b7b6cebdcfa04f44a57a876c#0,notebooks/02_modeling/sar_deep_dive.ipynb,5178d1cfe6af80c0b7b6cebdcfa04f44a57a876c,060a071a8e667556a7833ac2b478316bf0e60f73,success,ss,success
e658736a015bb19b94584a6c69025536ed666964#0,notebooks/02_modeling/als_deep_dive.ipynb,e658736a015bb19b94584a6c69025536ed666964,469af4b389b7cc1ab86ea6d73c27e608a9775660,success,ss,success
789206a3c0facff2871149c94a7b2500b3f1c032#0,notebooks/00_quick_start/sar_python_cpu_movielens.ipynb,789206a3c0facff2871149c94a7b2500b3f1c032,8cbf3c999d2613c1d197fb0e3fe5a04e3acbe4cf,success,ss,success
57d109a6abbfd6cb554c710defccc09cf595acc9#0,notebooks/00_quick_start/sar_pyspark_movielens.ipynb,57d109a6abbfd6cb554c710defccc09cf595acc9,31aed02e3d5df42e4070ef435bf441fcde81bce8,success,ss,success
17e790280dc01a0345af0abde7fb529fbf0b34c4#0,notebooks/03_evaluate/evaluation.ipynb,17e790280dc01a0345af0abde7fb529fbf0b34c4,b31052b69940e2a1860bf8fe85fef374dae456ae,success,ss,success
c98ef6fc299aaf769a13258c0c0079a7c228432a#1,notebooks/02_modeling/sar_educational_walkthrough.ipynb,c98ef6fc299aaf769a13258c0c0079a7c228432a,3139604e4379747a739d97a5f91b29ec26715224,success,ss,success
3139604e4379747a739d97a5f91b29ec26715224#1,notebooks/02_modeling/sar_educational_walkthrough.ipynb,3139604e4379747a739d97a5f91b29ec26715224,6384e22fba3a7b5b7712284602c1663140dc3058,success,ss,success
d25bdf76d8e7504298b590b225e8b02a4b70ed21#0,examples/deeplearning/notebooks/deeplearning_tensorflow_cat_dog_mouse_lenet.ipynb,d25bdf76d8e7504298b590b225e8b02a4b70ed21,e6e05a5ce8ae6db56accfa4f4fe25838c329b899,success,ss,success
06874d9cd4e537dc5f2118b2134e076c68ff5844#0,examples/deeplearning/notebooks/deeplearning_benchmark_mnist.ipynb,06874d9cd4e537dc5f2118b2134e076c68ff5844,88d333e09d52ce042f1b5c0e03bfcb2d93652dea,success,ss,success
9fa3eceaf326e0bea9f1b18150f825a202698ce5#0,examples/deeplearning/notebooks/deeplearning_mxnet_cifar10.ipynb,9fa3eceaf326e0bea9f1b18150f825a202698ce5,f44cc33493ab629b8050a5ecf7a4fb0be87cd968,success,ss,success
af632b387ca30059f4ef8dc70c372ba27710df93#0,h2o-docs/src/product/tutorials/gbm/gbmTuning.ipynb,af632b387ca30059f4ef8dc70c372ba27710df93,140ba38fefca88d0d2e809b8c3f2d510225a8c33,success,ss,success
72477b9a7d22818d0143eba1aab47326aebbbea3#0,h2o-docs/src/product/tutorials/gbm/gbmTuning.ipynb,72477b9a7d22818d0143eba1aab47326aebbbea3,f78b65b15e8dd3f1d6be487a360f50b09ba52c9f,success,ss,success
54cad9db0c9170dd0640e7f27ff1bad81bff9c2d#0,h2o-py/demos/H2O_tutorial_medium.ipynb,54cad9db0c9170dd0640e7f27ff1bad81bff9c2d,5a2ca4be7cbc9a2e8189d08a31746c0ade0eedba,success,ss,success
19ab94b13e013a23258100f8358801db86ad675e#14,h2o-py/demos/confusion_DEPRECATED_matrices_binomial.ipynb,19ab94b13e013a23258100f8358801db86ad675e,0dfbd184b1b7e9c3769817059057afc7397b6cb2,success,ss,success
19ab94b13e013a23258100f8358801db86ad675e#15,h2o-py/demos/confusion_matrices_binomial.ipynb,19ab94b13e013a23258100f8358801db86ad675e,0dfbd184b1b7e9c3769817059057afc7397b6cb2,success,ss,success
91fd4def9f2c481cc91e6572c35b2a7dd710dd10#1,h2o-py/demos/glrm_census_large.ipynb,91fd4def9f2c481cc91e6572c35b2a7dd710dd10,3e4bff04edf2d5cbfecf5fbbcc887890b84bc531,success,ss,success
