repo,id,filename,old_cell,new_cell,type,evaluation,correct_old_cell,correct_new_cell
ThinkDSP,da16259fe10b945ed5fd07f5a17d1c3528b9c644#0,code/chap01.ipynb,-1,11,add,y,-1,-1
fastai,2b9115a37bfdc8d42ccc7d4d2462ce0353b1cd7a#0,docs_src/metrics.ipynb,-1,15,add,y,-1,-1
fastai,a6926d47ed83641eee0c53a2d8137e31a82aba28#1,courses/dl2/carvana.ipynb,-1,84,add,n,83,83
fastai,1757d664c9134789f7c281545698fbb685e73563#51,docs_src/widgets.image_cleaner.ipynb,-1,58,add,i,-1,-1
recommenders,b96ffbfbec69503d3ce19b661bab56fcb0653d04#0,notebooks/00_quick_start/sar_movielens_with_azureml.ipynb,-1,6,add,y,-1,-1
Data-Analysis,7a7457cfb1fd1b1b07edf6e8831989302084df59#0,poisson/poisson.ipynb,-1,20,add,i,-1,-1
fastai,7895034df91c526de3e5c98a9deb9566b1fe192e#2,docs_src/text.learner.ipynb,-1,51,add,i,-1,-1
fastai,c7126f61ef305fe6a149d2bb7362b67229d44aa7#1,courses/ml1/lesson1.ipynb,-1,101,add,y,-1,-1
fastai,eb9a00d7834fd7cc82cfdcd595c0cd813bd75131#0,courses/dl1/lesson1-sgd.ipynb,-1,33,add,i,-1,-1
ThinkDSP,ef797f19ab6c427284728658a676bf9010f2bd83#0,code/chap09preview.ipynb,-1,19,add,i,-1,-1
fastai,d02f1971dac0f82b6b2446c0ef7a34500d885fed#15,docs_src/utils.mem.ipynb,-1,45,add,i,-1,-1
recommenders,279bdb2fbfbe54ab446e33501d5400b4583df66d#1,notebooks/04_model_select_and_optimize/azureml_hyperdrive_wide_and_deep.ipynb,-1,27,add,y,-1,-1
fastai,a177b29acf4db663b5e956e3f0536e0615939264#0,docs_src/vision.transform.ipynb,-1,19,add,n,19,19
fastai,b28d9eb39b42468721b1358832a5538f8a98ad2d#2,docs_src/widgets.image_cleaner.ipynb,-1,62,add,y,-1,-1
fastai,cfe689f0022769e7804ab2980e7f6151cb221b24#19,docs_src/widgets.image_cleaner.ipynb,-1,54,add,i,-1,-1
fastai,d50549a5db65793bbdb34de2bad2c7527b47c3d4#19,docs_src/widgets.image_cleaner.ipynb,-1,82,add,i,-1,-1
ThinkDSP,c4ea7ce427f3cccef458d46c181a4ae5f9559ea3#0,code/chap11.ipynb,-1,21,add,n,18,18
recommenders,d61df9c372c4d2a4e701ae2450a7098844d38b79#0,notebooks/00_quick_start/run_notebook_on_azureml.ipynb,-1,4,add,n,4,4
fastai,bbcd4e0ce5614630aed31695af92df139d3c489f#38,courses/dl2/style-transfer.ipynb,-1,56,add,i,-1,-1
fastai,564bbda2f536bce6295dbbff6e35e817f4b93a3b#2,courses/dl1/lesson6-rnn.ipynb,-1,137,add,i,-1,-1
